#MULTIPLE CHOICE QUESTION TYPE,,,
Option,0,.describe(),
Option,0,.summary(),
Hint,Used to check structure and column info.,,

NewQuestion,MC,,
ID,3603-10,,
QuestionText,Which method summarizes statistics for numeric columns?,,
Points,1,,
Difficulty,1,,
Option,100,.describe(),Correct!
Option,0,.info(),
Option,0,.count(),
Option,0,.sum(),
Hint,Shows mean, std, min, max, etc.,,

NewQuestion,MC,,
ID,3603-11,,
QuestionText,What symbol represents missing data in Pandas?,,
Points,1,,
Difficulty,1,,
Option,100,NaN,Correct!
Option,0,None,
Option,0,NULL,
Option,0,Empty string,
Hint,Short for "Not a Number".,,

NewQuestion,MC,,
ID,3603-12,,
QuestionText,Which methods create a boolean mask for missing or present data?,,
Points,1,,
Difficulty,1,,
Option,100,.isnull() / .notnull(),Correct!
Option,0,.dropna(),
Option,0,.fillna(),
Option,0,.replace(),
Hint,Returns True or False for each element.,,

NewQuestion,MC,,
ID,3603-13,,
QuestionText,Which method fills missing values?,,
Points,1,,
Difficulty,1,,
Option,100,.fillna(),Correct!
Option,0,.dropna(),
Option,0,.replace(),
Option,0,.fill(),
Hint,Can use a constant or method argument.,,

NewQuestion,MC,,
ID,3603-14,,
QuestionText,Which method drops rows or columns with missing data?,,
Points,1,,
Difficulty,1,,
Option,100,.dropna(),Correct!
Option,0,.fillna(),
Option,0,.isnull(),
Option,0,.replace(),
Hint,Removes incomplete entries.,,

NewQuestion,MC,,
ID,3603-15,,
QuestionText,Which function converts a Series to numeric type?,,
Points,1,,
Difficulty,1,,
Option,100,pd.to_numeric(),Correct!
Option,0,.astype(int),
Option,0,.convert_numeric(),
Option,0,np.float(),
Hint,Can coerce errors to NaN.,,

NewQuestion,MC,,
ID,3603-16,,
QuestionText,Which Pandas method renames columns?,,
Points,1,,
Difficulty,1,,
Option,100,.rename(),Correct!
Option,0,.replace(),
Option,0,.columns(),
Option,0,.set_names(),
Hint,Use a dictionary of old:new names.,,

NewQuestion,MC,,
ID,3603-17,,
QuestionText,Which method removes specified columns?,,
Points,1,,
Difficulty,1,,
Option,100,.drop(columns=...),Correct!
Option,0,.remove(),
Option,0,.delete(),
Option,0,.clear(),
Hint,Can remove one or multiple columns.,,

NewQuestion,MC,,
ID,3603-18,,
QuestionText,Which method applies a function to a column or DataFrame?,,
Points,1,,
Difficulty,1,,
Option,100,.apply(),Correct!
Option,0,.map(),
Option,0,.filter(),
Option,0,.use(),
Hint,Great for element-wise operations.,,

NewQuestion,MC,,
ID,3603-19,,
QuestionText,Which method sorts rows by one or more columns?,,
Points,1,,
Difficulty,1,,
Option,100,.sort_values(),Correct!
Option,0,.sort_index(),
Option,0,.order(),
Option,0,.filter(),
Hint,Specify ascending=False to reverse order.,,

NewQuestion,MC,,
ID,3603-20,,
QuestionText,What is filtering in Pandas?,,
Points,1,,
Difficulty,1,,
Option,100,Extracting rows based on conditional logic,Correct!
Option,0,Sorting rows alphabetically,
Option,0,Renaming columns dynamically,
Option,0,Deleting duplicate entries,
Hint,Commonly uses df[df["col"] > value].,,

NewQuestion,MC,,
ID,3603-21,,
QuestionText,What does Boolean masking allow you to do?,,
Points,1,,
Difficulty,1,,
Option,100,Filter rows using logical operations,Correct!
Option,0,Apply functions to each row,
Option,0,Replace missing values,
Option,0,Sort values alphabetically,
Hint,Uses &, |, and ~ for logic.,,

NewQuestion,MC,,
ID,3603-22,,
QuestionText,Which method filters rows using SQL-like syntax?,,
Points,1,,
Difficulty,1,,
Option,100,.query(),Correct!
Option,0,.filter(),
Option,0,.select(),
Option,0,.mask(),
Hint,Example: df.query("score > 90").,,

NewQuestion,MC,,
ID,3603-23,,
QuestionText,What is feature engineering?,,
Points,1,,
Difficulty,1,,
Option,100,Creating new columns from existing data,Correct!
Option,0,Renaming existing columns,
Option,0,Sorting and filtering data,
Option,0,Deleting redundant records,
Hint,Used to improve model accuracy.,,

NewQuestion,MC,,
ID,3603-24,,
QuestionText,Which method shows frequency counts of unique values?,,
Points,1,,
Difficulty,1,,
Option,100,.value_counts(),Correct!
Option,0,.count(),
Option,0,.sum(),
Option,0,.unique(),
Hint,Often used for categorical data.,,

NewQuestion,MC,,
ID,3603-25,,
QuestionText,Which method writes a DataFrame to a CSV file?,,
Points,1,,
Difficulty,1,,
Option,100,.to_csv(),Correct!
Option,0,read_csv(),
Option,0,export_csv(),
Option,0,save_file(),
Hint,Saves your cleaned DataFrame for later use.,,
